Date,SBIN.NS,HDFCBANK.NS,AXISBANK.NS,ICICIBANK.NS,INDUSINDBK.NS
2022-05-06,459.7207946777344,1270.3421630859375,670.4786376953125,697.3049926757812,888.3645629882812
2022-05-09,452.07379150390625,1272.5113525390625,660.8207397460938,688.676513671875,863.423583984375
2022-05-10,451.4088439941406,1292.9510498046875,656.8878784179688,689.5975341796875,883.8518676757812
2022-05-11,452.69122314453125,1300.2303466796875,669.4331665039062,692.4091186523438,896.0796508789062
2022-05-12,439.4871520996094,1270.921142578125,646.8317260742188,674.5703735351562,844.2083740234375
2022-05-13,422.3883056640625,1259.5096435546875,633.1911010742188,656.683349609375,846.5859375
2022-05-16,432.22015380859375,1272.9205322265625,636.1781005859375,662.1609497070312,859.7357788085938
2022-05-17,443.90435791015625,1281.6011962890625,652.108642578125,688.3372802734375,877.1555786132812
2022-05-18,435.0699462890625,1281.503662109375,656.5892333984375,685.76806640625,876.476318359375
2022-05-19,425.09564208984375,1255.315673828125,647.3792724609375,669.23828125,840.6660766601562
2022-05-20,439.24969482421875,1288.3797607421875,670.179931640625,687.9009399414062,870.0227661132812
2022-05-23,437.82476806640625,1271.8477783203125,672.420166015625,689.3551635742188,875.7484741210938
2022-05-24,438.91717529296875,1286.4290771484375,661.169189453125,686.543701171875,871.429931640625
2022-05-25,438.09716796875,1296.036376953125,662.1151733398438,691.5850219726562,866.9656982421875
2022-05-26,452.3755798339844,1333.001708984375,680.285888671875,706.272705078125,871.0902099609375
2022-05-27,452.423828125,1357.726806640625,685.3140869140625,717.2279663085938,898.0692138671875
2022-05-30,457.8747253417969,1366.9925537109375,690.640869140625,725.66259765625,908.5502319335938
2022-05-31,451.6037902832031,1354.703125,682.2275390625,729.8798217773438,903.358154296875
2022-06-01,451.7967224121094,1360.457763671875,683.07373046875,729.6859130859375,900.9320068359375
2022-06-02,453.2921142578125,1350.9481201171875,688.5499877929688,726.8744506835938,915.100830078125
